Model,TDP
Intel Xeon Gold 5218N,110
Intel Xeon Gold 5218T,105
Intel Xeon Gold 5220,125
Intel Xeon Gold 5220S,125
Intel Xeon Gold 5220T,105
Intel Xeon Gold 5222,105
Intel Xeon Gold 6222V,115
Intel Xeon Gold 6226,125
Intel Xeon Gold 6230,125
Intel Xeon Gold 6230N,125
Intel Xeon Gold 6230T,125
Intel Xeon Gold 6231,185
Intel Xeon Gold 6231C,185
Intel Xeon Gold 6233,165
Intel Xeon Gold 6234,130
Intel Xeon Gold 6238,140
Intel Xeon Gold 6238L,140
Intel Xeon Gold 6238M,140
Intel Xeon Gold 6238T,125
Intel Xeon Gold 6240,150
Intel Xeon Gold 6240L,150
Intel Xeon Gold 6240M,150
Intel Xeon Gold 6240Y,150
Intel Xeon Gold 6240C,150
Intel Xeon Gold 6241W,205
Intel Xeon Gold 6242,150
Intel Xeon Gold 6244,150
Intel Xeon Gold 6245W,180
Intel Xeon Gold 6246,165
Intel Xeon Gold 6248,150
Intel Xeon Gold 6250,185
Intel Xeon Gold 6250L,185
Intel Xeon Gold 6252,150
Intel Xeon Gold 6252N,150
Intel Xeon Gold 6253W,200
Intel Xeon Gold 6253CL,205
Intel Xeon Gold 6254,200
Intel Xeon Gold 6256,205
Intel Xeon Gold 6261,205
Intel Xeon Gold 6262V,135
Intel Xeon Gold 6263CY,205
Intel Xeon Gold 6266C,205
Intel Xeon Gold 6267,165
Intel Xeon Gold 6267C,165
Intel Xeon Gold 6268CL,205
Intel Xeon Gold 6271C,165
Intel Xeon Gold 6273C,165
Intel Xeon Gold 6278C,185
Intel Xeon Gold 6290,240
Intel Xeon Platinum 8222L,200
Intel Xeon Platinum 8249C,150
Intel Xeon Platinum 8251,240
Intel Xeon Platinum 8253,125
Intel Xeon Platinum 8255C,165
Intel Xeon Platinum 8256,105
Intel Xeon Platinum 8259L,210
Intel Xeon Platinum 8259CL,210
Intel Xeon Platinum 8260,165
Intel Xeon Platinum 8260L,165
Intel Xeon Platinum 8260M,165
Intel Xeon Platinum 8260Y,165
Intel Xeon Platinum 8263C,165
Intel Xeon Platinum 8267W,205
Intel Xeon Platinum 8268,205
Intel Xeon Platinum 8269CY,205
Intel Xeon Platinum 8270,205
Intel Xeon Platinum 8272L,195
Intel Xeon Platinum 8272CL,195
Intel Xeon Platinum 8273CL,165
Intel Xeon Platinum 8274,240
Intel Xeon Platinum 8275CL,240
Intel Xeon Platinum 8276,165
Intel Xeon Platinum 8276L,165
Intel Xeon Platinum 8276M,165
